id;lock;sku;product_id;warehouse_code;warehouse_id;issue_code
1;28573;transmitter embrace algorithm;60216;Handmade Bahamas calculate;25893;Gorgeous Pizza Savings
2;19188;green;33537;quantify;79640;intangible
3;68656;killer;93909;Personal South;43432;array Chicken platforms
4;55027;Rue;13807;Viaduct monitor withdrawal;12705;Alaska relationships
5;85131;Table;75817;unleash Throughway product;19303;Direct
6;35812;paradigms infomediaries;7699;Jewelery optimize;84970;Virtual wireless Forint
7;90339;portals;30268;orchid Soap Metal;73782;asymmetric intermediate
8;22815;Cambridgeshire virtual;4425;Marketing Dynamic Syrian;33296;Analyst
9;40603;extranet Fresh;9356;Account value-added flexibility;32913;lavender Maryland
10;29865;Berkshire Compatible TCP;7261;Practical Liberian;43042;Peso Cheese extensible
