id;product_id;sku;period_id;warehouse_id;warehouse_code;open_qty;close_qty;receipt_qty;issue_qty
1;56513;optical connect Forward;63972;62483;implement Dollar Games;41896;33973;52805;61813
2;49443;Buckinghamshire core Cambridgeshire;33896;26449;concept Nevada calculating;78093;87347;61974;92354
3;24132;Parks Nebraska;88712;91005;Plastic back-end deposit;11905;22160;37840;40253
4;37513;deposit Factors Chair;98166;10231;Customer Upgradable Massachusetts;61596;82507;761;85891
5;72500;copy;88820;72009;Kyat haptic THX;28990;22185;74090;841
6;3878;Montana;43939;79564;Steel Borders Berkshire;81094;33328;89530;43222
7;57014;engage cyan;49291;50196;Central Account;39278;60342;95353;33870
8;66293;Shilling;93507;95296;Investment plum;7203;87006;11726;46228
9;91516;Beauty;48091;49337;Lanka De-engineered synergies;12910;9455;87792;57860
10;10660;back-end Research Executive;49972;88824;silver Borders transmit;46877;91460;85169;20949
