id;sale_order_number;confirmed_qty;actual_exported_qty;remaining_qty;note;sku
1;hardware;19677;65203;68541;AI Cambridgeshire copying;Dollar parsing Polarised
2;Account Creative Renminbi;43684;39804;56136;Metal indigo Orchestrator;Interactions Iran
3;JBOD payment;80678;73652;68446;Officer Loan;optical
4;Brunei mint Rubber;64527;11472;11782;Martin Investment;envisioneer Towels deposit
5;Lodge engage;79216;91201;9298;Chief withdrawal;Designer fresh-thinking Licensed
6;Senegal;99095;97521;45501;architecture;Samoa salmon
7;Books;86481;88994;19326;invoice Metrics;tan
8;reintermediate;57867;71150;71016;product schemas;Interactions
9;Oklahoma reintermediate Generic;14739;2060;97808;Alabama;payment input
10;Alabama;17987;76425;63158;Helena;Tala Account Fantastic
