id;sku;confirmed_qty;actual_imported_qty;difference_qty;note
1;withdrawal Associate;38638;75962;50317;Uruguay user-centric Personal
2;Product Regional Hills;97171;92076;32371;invoice bus
3;sky;65773;49327;66591;optimize orange
4;CSS neutral THX;52535;13096;77445;De-engineered
5;Course Group Fantastic;43780;19966;40477;engineer
6;portal Plastic Product;15566;58104;86773;Louisiana reintermediate
7;Rubber;16972;62866;19516;Human Ball Business-focused
8;Corporate;72467;63746;37024;face Direct
9;Incredible overriding overriding;53851;41728;68675;Direct
10;Gloves Gorgeous Strategist;331;94301;76441;visualize
