id;receipt_code;shipment_no;container_no;issue_code;total_transferred_qty;total_actual_imported_qty;total_difference_qty;created_by;receipt_type;created_date;is_manual_create;general_note;status;modified_by;modified_date;is_active;receipt_date;department;warehouse_code
1;Universal;Electronics Maryland;Home pricing;Loan generating Executive;31907;65259;67453;index;OTHER;2023-02-07T14:11:18;false;cultivate;APPROVED;Seychelles transmitter SAS;2023-02-08T05:14:52;false;2023-02-07T23:58:47;RETAIL;Personal Liaison
2;User-friendly French;digital;Brook redefine;Usability;61795;26719;27007;Tala SMTP;ADJUST_INCREASE;2023-02-08T06:18:44;false;auxiliary productize Personal;CONFIRMED;white pixel;2023-02-07T14:19:56;false;2023-02-07T09:02:04;RETAIL;Market card
3;Courts executive;Washington;vertical Universal Michigan;Frozen Branding;14388;81244;22727;Implementation Gloves Rubber;OTHER;2023-02-07T14:53:12;false;Fantastic optimizing;APPROVED;Fantastic;2023-02-07T21:36:20;false;2023-02-08T01:14:55;RETAIL;Computer cross-platform
4;Shoes;invoice demand-driven Isle;Personal viral Down-sized;Iowa whiteboard;61079;82968;77896;alarm;OTHER;2023-02-07T08:29:02;true;revolutionary;COMPLETED;Soap Hryvnia;2023-02-08T07:01:27;true;2023-02-07T22:41:59;RETURN;Buckinghamshire Legacy
5;Gorgeous Clothing ROI;knowledge streamline;streamline;Loan invoice up;98921;7267;28760;Vatu Forward;EXTERNAL_TRANSFER;2023-02-07T10:16:04;true;Fantastic Fresh vertical;CONFIRMED;Uganda;2023-02-08T04:41:18;true;2023-02-07T19:16:00;RETAIL;override
6;protocol Paradigm National;Factors;Kwacha Fresh;generating;91599;80744;79669;SMTP New;ADJUST_INCREASE;2023-02-07T21:31:01;false;Lek Checking functionalities;NEW;primary orchid;2023-02-07T13:19:30;true;2023-02-08T07:18:50;RETURN;invoice
7;Soft Devolved Awesome;Table;Future New task-force;neural magnetic;28160;9519;4900;index Jewelery Michigan;INTERNAL_TRANSFER;2023-02-08T04:56:25;true;transmitter Corporate;NEW;invoice;2023-02-08T02:27:07;true;2023-02-08T03:01:19;WHOLESALE;system Bedfordshire optical
8;Baby;Communications monitor connecting;Factors Hat Factors;Lesotho Locks;92107;21321;56185;grow 1080p Louisiana;OTHER;2023-02-07T15:29:45;false;Accountability bandwidth;NEW;Clothing;2023-02-08T00:13:35;false;2023-02-08T03:52:33;RECEIVING;silver payment
9;Realigned AGP;Interface copy;Uganda;Dollar Metal Lead;40936;93028;33128;indexing Home open-source;ADJUST_INCREASE;2023-02-08T04:32:00;false;Ports functionalities;CONFIRMED;override Rufiyaa orange;2023-02-07T13:10:43;false;2023-02-07T11:27:40;RETURN;ADP
10;driver Corporate;Wooden Buckinghamshire;Marketing;calculating Fantastic Soft;88490;99117;81309;Loan neural-net;ADJUST_INCREASE;2023-02-07T16:25:24;true;didactic product;APPROVED;Manat Loan Self-enabling;2023-02-08T07:44:13;false;2023-02-07T17:55:43;RETURN;Jewelery
